file_path,page,edition_dir,version_type,annotation_system,dynasty_period,printer,total_juan,extant_juan,holding_institution,catalog_id_main,catalog_id_secondary,authors,annotators,peiben_notes,colophon_authors,line_count,average_confidence,is_vertical
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷/史記一百三十卷版本書影/0000019-08.jpg,0000019-08,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷,C,三家注,明,王延喆,130,存一百十一卷,皖西学院图书馆,03494,09486,司马迁,裴骃；司马贞；张守节,,,7,0.9987,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/.backup_百衲本史记-1.jpg,.backup_百衲本史记-1,C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店,C,三家注,宋元明清,集配本,130,,中国书店,00398,【1】,司马迁,裴骃；司马贞；张守节,宋元明清集配本,,0,0.0000,否
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03483 （二）00326 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 内蒙古大学图书馆/0000013-7.jpg,0000013-7,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03483 （二）00326 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 内蒙古大学图书馆,C,三家注,明,王延喆,130,史记一百三十卷,内蒙古大学图书馆,03483,00326,司马迁,裴骃；司马贞；张守节,,,5,0.9751,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03493 （二）09028 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 李承祥跋 重庆图书馆/.backup_索引序P1a.jpg,.backup_索引序P1a,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03493 （二）09028 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 李承祥跋 重庆图书馆,C,三家注,明,王延喆,130,,重庆图书馆,03493,09028,司马迁,裴骃；司马贞；张守节,,['李承祥'],9,0.9987,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 9明万历二至三年（1574-1575）南京国子监刻本/【2】03498 （二）07735 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明万历二至三年（1574-1575）南京国子监刻本 严虞惇跋并录归有光批 归朝煦 顾王/史記-1.jpg,史記-1,C史记 集解、索隐、正义三家注本 9明万历二至三年（1574-1575）南京国子监刻本/【2】03498 （二）07735 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明万历二至三年（1574-1575）南京国子监刻本 严虞惇跋并录归有光批 归朝煦 顾王,C,三家注,明,南京国子监,130,,,03498,07735,司马迁,裴骃；司马贞；张守节,,['严虞惇'],19,0.9779,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/.backup_百衲本史记-6.jpg,.backup_百衲本史记-6,C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店,C,三家注,宋元明清,集配本,130,,中国书店,00398,【1】,司马迁,裴骃；司马贞；张守节,宋元明清集配本,,23,0.9791,是
../../../data/名录 史记2025-11-6/E史记 三家注明徐孚远陈子龙测议本 1明末刻本/【4】10162 （四）14682 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 （明）徐孚远 陈子龙测议 明末刻本 郭嵩焘批注 湖南师范大学图书馆/湖南师大郭嵩焘批点史记卷端.jpg,湖南师大郭嵩焘批点史记卷端,E史记 三家注明徐孚远陈子龙测议本 1明末刻本/【4】10162 （四）14682 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 （明）徐孚远 陈子龙测议 明末刻本 郭嵩焘批注 湖南师范大学图书馆,E,三家注,明,null,130,null,湖南师范大学图书馆,10162,14682,司马迁,裴骃；司马贞；张守节；徐孚远；陈子龙,null,郭嵩焘,29,0.9176,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03483 （二）00326 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 内蒙古大学图书馆/0000013-9.jpg,0000013-9,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03483 （二）00326 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 内蒙古大学图书馆,C,三家注,明,王延喆,130,史记一百三十卷,内蒙古大学图书馆,03483,00326,司马迁,裴骃；司马贞；张守节,,,8,0.9709,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷/史記一百三十卷版本書影/0000019-06.jpg,0000019-06,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷,C,三家注,明,王延喆,130,存一百十一卷,皖西学院图书馆,03494,09486,司马迁,裴骃；司马贞；张守节,,,10,0.9887,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07477 （三）11321 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 丁丙跋 南京图书馆/书影/150/000001.jpg,000001,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07477 （三）11321 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 丁丙跋 南京图书馆,C,三家注,明,汪谅,130,,南京图书馆,07477,11321,司马迁,裴骃；司马贞；张守节,,['丁丙'],6,0.9457,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07490 （三）11165 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 四川大学图书馆/.backup_史記 卷二卷末 明 四川大學圖書館.jpg,.backup_史記 卷二卷末 明 四川大學圖書館,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07490 （三）11165 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 四川大学图书馆,C,三家注,明,秦藩朱惟焯,130,,四川大学图书馆,07490,11165,司马迁,裴骃；司马贞；张守节,,,4,0.9440,是
../../../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 4明正德十三年（1518）邵宗周刻本/【2】03474 （二）08299 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德十三年（1518）邵宗周刻本 湖南图书馆/史记3.jpg,史记3,B史记 集解、索隐合刻本 4明正德十三年（1518）邵宗周刻本/【2】03474 （二）08299 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德十三年（1518）邵宗周刻本 湖南图书馆,B,集解+索隐,明,邵宗周,130,,湖南图书馆,03474,08299,司马迁,裴骃；司马贞,,,12,0.9919,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷/史記一百三十卷版本書影/0000019-01.jpg,0000019-01,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03494 （二）09486 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 皖西学院图书馆#存一百十一卷,C,三家注,明,王延喆,130,存一百十一卷,皖西学院图书馆,03494,09486,司马迁,裴骃；司马贞；张守节,,,24,0.9519,是
../../../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 2宋淳熙三年（1176）张杅桐川郡斋刻八年（1181）耿秉重修本/【1】00395 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 宋淳熙三年（1176）张杅桐川郡斋刻八年（1181）耿秉重修本 国家图书馆/.backup_史记一百三十卷- 7884 .jpg,.backup_史记一百三十卷- 7884 ,B史记 集解、索隐合刻本 2宋淳熙三年（1176）张杅桐川郡斋刻八年（1181）耿秉重修本/【1】00395 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 宋淳熙三年（1176）张杅桐川郡斋刻八年（1181）耿秉重修本 国家图书馆,B,集解+索隐,宋,张杅桐川郡斋、耿秉,130,,国家图书馆,00395,【1】,司马迁,裴骃；司马贞,,,31,0.8777,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03484 （二）00501 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 中共福建省委党校图书馆/书影350000-2047-0000003/版本书影/350000-2047-0000003-03.jpg,350000-2047-0000003-03,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03484 （二）00501 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 中共福建省委党校图书馆,C,三家注,明,王延喆,130,,中共福建省委党校图书馆,03484,00501,司马迁,裴骃；司马贞；张守节,,,21,0.9723,是
../../../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/.backup_百衲本史记-8.jpg,.backup_百衲本史记-8,C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店,C,三家注,宋元明清,集配本,130,,中国书店,00398,【1】,司马迁,裴骃；司马贞；张守节,宋元明清集配本,,25,0.9748,是
../../../data/名录 史记2025-11-6/A史记 集解本 5明崇祯十四年（1641）毛氏汲古阁刻本/【6】12487 （六）03688 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 明崇祯十四年（1641）毛氏汲古阁刻本 黄丕烈 王芑孙跋 沈恕校 湖北省图书馆/.backup_002.jpg,.backup_002,A史记 集解本 5明崇祯十四年（1641）毛氏汲古阁刻本/【6】12487 （六）03688 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 明崇祯十四年（1641）毛氏汲古阁刻本 黄丕烈 王芑孙跋 沈恕校 湖北省图书馆,A,集解,明,毛氏汲古阁,130,史记一百三十卷,湖北省图书馆,6,12487 （六）03688,司马迁,裴骃,null,"['黄丕烈', '王芑孙']",16,0.9853,是
